U+2F989	&C4-4C56;	⿰&MJ013520;旋
U+2F98A	&C4-582D;	⿰⺼&AJ1-07449;
U+2F98B	舁	⿱𦥑&MJ011120;
U+2F98C	&U+2F98C;	舄
U+2F98D	辞	&AJ1-02265;
U+2F98E	&C6-6125;	⿰舟幷
U+2F98F	芑	⿱⺾已
U+2F990	芋	芋
U+2F991	芝	芝
U+2F992	劳	劳
U+2F993	花	花
U+2F994	芳	⿱艸方
U+2F995	芽	&MJ021616;
U+2F996	苦	苦
U+2F997	𦬼	⿱⺾尔
U+2F998	若	若
U+2F999	茝	⿱⺾𦣝
U+2F99A	荣	荣
U+2F99B	莭	⿱卝即
U+2F99C	茣	⿱⺾吴
U+2F99D	莽	⿳⺾大&MJ011120;
U+2F99E	菧	⿱⺾㡳
U+2F99F	著	著
U+2F9A0	荓	⿱⺾幷
U+2F9A1	菊	菊
U+2F9A2	菌	菌
U+2F9A3	菜	菜
U+2F9A4	𦰶	&C6-4D70;
U+2F9A5	&U+2F9A5;	⿱⺾⿱⿱丅冖糸
U+2F9A6	𦳕	⿱&MJ021875;廾
U+2F9A7	䔫	⿱⺾⿰𤴔朿
U+2F9A8	蓱	⿱⺾洴
U+2F9A9	蓳	&UU+84F3;
U+2F9AA	蔖	⿱⺾⿸&AJ1-06479;旦
U+2F9AB	𧏊	𧏊
U+2F9AC	蕤	⿺⿱⺾&MJ024906;生
U+2F9AD	𦼬	⿱⿱卝沮皿
U+2F9AE	䕝	⿱⺾&AJ1-05917;
U+2F9AF	䕡	⿱⺾⿵門吕
U+2F9B0	𦾱	⿱⺾摷
U+2F9B1	𧃒	⿱⺾縷
U+2F9B2	䕫	⿱⺾⿱⿲止自㔾⿱八夂
U+2F9B3	虐	⿸&AJ1-06479;&CDP-8DC1;
U+2F9B4	虜	⿸&AJ1-06479;男
U+2F9B5	虧	⿰&C3-4A47;亐
U+2F9B6	虩	⿰𡭽&AJ1-01931;
U+2F9B7	蚩	⿱㞢虫
U+2F9B8	蚈	⿰虫幵
U+2F9B9	蜎	⿰虫䏍
U+2F9BA	&C4-467C;	⿰虫幷
U+2F9BB	蝹	⿰虫昷
U+2F9BC	蜨	⿰虫⿳⺊&AJ1-14521;龰
U+2F9BD	蝫	⿰虫者
U+2F9BE	螆	⿰虫兹
U+2F9BF	䗗	⿰虫筓
U+2F9C0	蟡	⿰虫&AJ1-05603;
U+2F9C1	蠁	⿱&MJ026367;虫
U+2F9C2	&C4-643F;	⿰虫慈
U+2F9C3	衠	⿲彳&MJ018170;亍
U+2F9C4	衣	&AJ1-01189;
U+2F9C5	&C5-303E;	⿰衤开
U+2F9C6	裗	⿰衤⿳&AJ1-04110;厶𫶧
U+2F9C7	裞	⿰衤兑
U+2F9C8	䘵	⿰衤&C3-2871;
U+2F9C9	&U+2F9C9;	⿰衤𡘹
U+2F9CA	㒻	⿱日見
U+2F9CB	𧢮	&C4-6E3B;
U+2F9CC	&C6-3C2D;	⿰言亏
U+2F9CD	䚾	䚾
U+2F9CE	䛇	⿰言⿱几口
U+2F9CF	誠	⿰言⿵戊丅
U+2F9D0	諭	⿰言&AJ1-04216;
U+2F9D1	變	⿱&AJ1-18690;夂
U+2F9D2	豕	&MJ024906;
U+2F9D3	𧲨	⿰豸幵
U+2F9D4	貫	⿱母貝
U+2F9D5	賁	⿱𠦄貝
U+2F9D6	贛	⿸⿰章⿱夂𡕒貝
U+2F9D7	起	⿺走己
U+2F9D8	𧼯	⿺走&AJ1-04216;
U+2F9D9	𠠄	𠠄
U+2F9DA	跋	跋
U+2F9DB	趼	⿰𧾷幵
U+2F9DC	跰	⿰𧾷幷
U+2F9DD	𠣞	𠣞
U+2F9DE	軔	軔
U+2F9DF	輸	⿰車&AJ1-04216;
U+2F9E0	𨗒	⿺⻍⿱雨𡈼
U+2F9E1	𨗭	⿺⻍⿳𦥔八土
U+2F9E2	邔	⿰已⻖
U+2F9E3	郱	⿰幷⻖
U+2F9E4	鄑	⿰晋⻖
U+2F9E5	𨜮	&C6-4F63;
U+2F9E6	鄛	⿰巢⻖
U+2F9E7	鈸	&JX1-7D26;
U+2F9E8	鋗	⿰金䏍
U+2F9E9	鋘	⿰金吳
U+2F9EA	鉼	⿰金幷
U+2F9EB	鏹	⿰金强
U+2F9EC	鐕	⿰金⿱&MJ007239;日
U+2F9ED	𨯺	𨯺
U+2F9EE	開	⿵門幵
U+2F9EF	䦕	⿵門幷
U+2F9F0	閷	⿰杀閃
U+2F9F1	𨵷	⿵門𥁕
U+2F9F2	䧦	⿰⻖為
U+2F9F3	雃	⿰幵隹
U+2F9F4	嶲	⿱屮雋
U+2F9F5	霣	⿱雨貟
U+2F9F6	𩅅	⿱雨&AJ1-17950;
U+2F9F7	𩈚	⿰面幷
U+2F9F8	䩮	⿰革&C3-2871;
U+2F9F9	䩶	⿰革蚩
U+2F9FA	韠	&JSP-6769;
U+2F9FB	𩐊	⿰市⿱次韭
U+2F9FC	䪲	⿰&AJ1-04209;頁
U+2F9FD	𩒖	⿰开頁
U+2F9FE	頋	⿰⿸厂㔾頁
U+2F9FF	頋	⿰⿸厂巳頁
U+2FA00	頩	⿰幷頁
U+2FA01	&C6-643A;	⿺風术
U+2FA02	&C6-3C77;	⿰飠儿
U+2FA03	䬳	&C4-4179;
U+2FA04	餩	&UU+9929;
U+2FA05	馧	⿰香昷
U+2FA06	駂	駂
U+2FA07	駾	⿰馬兑
U+2FA08	䯎	⿰&AJ1-02062;&CDP-8D4A;
U+2FA09	𩬰	⿱髟⿰工&AJ1-03724;
U+2FA0A	鬒	⿱髟真
U+2FA0B	鱀	⿱&AJ1-13701;魚
U+2FA0C	鳽	⿰幵鳥
U+2FA0D	䳎	⿰𦥑鳥
U+2FA0E	䳭	⿰即鳥
U+2FA0F	鵧	⿰幷鳥
U+2FA10	𪃎	⿰&AJ1-04216;鳥
U+2FA11	䳸	⿸&AJ1-03729;鳥
U+2FA12	𪄅	⿱&AJ1-02164;鳥
U+2FA13	𪈎	⿰頼鳥
U+2FA14	𪊑	⿸&AJ1-02267;幵
U+2FA15	麻	⿸广𣏟
U+2FA16	䵖	⿱𠭃黍
U+2FA17	黹	⿱&CDP-8D6B;&AJ1-17590;
U+2FA18	黾	⿱口&CDP-8BE8;
U+2FA19	鼅	⿱知&AJ1-07449;
U+2FA1A	鼏	&JSP-6D26;
U+2FA1B	鼖	⿱𠦄鼓
U+2FA1C	鼻	⿱自𢌿
U+2FA1D	𪘀	⿰齒幷
